job_title,job_company,job_location,job_time,job_antiquity,job_type,job_url,job_sector,job_role
Python Developer ( remoto),ZonaJobs,"Buenos Aires, Provincia de Buenos Aires, Argentina",Hace 4 semanas,Sin experiencia,Jornada completa,https://ar.linkedin.com/jobs/view/python-developer-remoto-at-zonajobs-2337075452?refId=0cb4cb89-b2db-415f-a88c-2104bdddeafe&trackingId=3YEieZtVXn9qWeJQJOK9uw%3D%3D&position=11&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Servicios y tecnologías de la información ,Ingeniería
Python Software Developer,COHLEY,"Buenos Aires, Provincia de Buenos Aires, Argentina",Hace 2 meses,Sin experiencia,Jornada completa,https://ar.linkedin.com/jobs/view/python-software-developer-at-cohley-2287628548?refId=0cb4cb89-b2db-415f-a88c-2104bdddeafe&trackingId=8ZCuFpwP8mmi2rixFVi3%2BA%3D%3D&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Marketing y publicidad,Ingeniería
Desarrollador Python Sr.,T-MOB,Buenos Aires y alrededores,Hace 1 semana,Algo de responsabilidad,Jornada completa,https://ar.linkedin.com/jobs/view/desarrollador-python-sr-at-t-mob-2314325912?refId=0cb4cb89-b2db-415f-a88c-2104bdddeafe&trackingId=aC1iGNcd22d9J2QzLHyaWw%3D%3D&position=12&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Servicios y tecnologías de la información ,Ingeniería
Python/ Django developer,CL SELECT- Consultoria en RRHH,"Córdoba, Córdoba, Argentina",Hace 2 meses,Intermedio,Jornada completa,https://ar.linkedin.com/jobs/view/python-django-developer-at-cl-select-consultoria-en-rrhh-2288282482?refId=0cb4cb89-b2db-415f-a88c-2104bdddeafe&trackingId=EyeCwB2%2B5Cm6vIkG2wdG9w%3D%3D&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Servicios y tecnologías de la información ,Ingeniería
Software Engineering - Python Developer,JPMorgan Chase & Co.,"Buenos Aires, Provincia de Buenos Aires, Argentina",Hace 2 días,Sin experiencia,Jornada completa,https://ar.linkedin.com/jobs/view/software-engineering-python-developer-at-jpmorgan-chase-co-2318389286?refId=0cb4cb89-b2db-415f-a88c-2104bdddeafe&trackingId=2hU87q4bJTjvRMFSelGQJg%3D%3D&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Banca,Tecnología de la información
Python Developer ( remoto),Fegma Recritment,"Buenos Aires, Provincia de Buenos Aires, Argentina",Hace 1 semana,Sin experiencia,Jornada completa,https://ar.linkedin.com/jobs/view/python-developer-remoto-at-fegma-recritment-2328725079?refId=0cb4cb89-b2db-415f-a88c-2104bdddeafe&trackingId=JefQAz2uicjvqGrw6tcKOw%3D%3D&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Servicios y tecnologías de la información ,Ingeniería
Python-Entwickler,MIR MEDIA,"Provincia de Buenos Aires, Argentina",Hace 19 horas,Intermedio,Jornada completa,https://ar.linkedin.com/jobs/view/python-entwickler-at-mir-media-2319391704?refId=0cb4cb89-b2db-415f-a88c-2104bdddeafe&trackingId=GIz78wg4hT2CzYLiWWelcQ%3D%3D&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Internet,Ingeniería
100% Remote Python/django/Flask,Super7ui,Buenos Aires y alrededores,Hace 1 día,No corresponde,Contrato por obra,https://ar.linkedin.com/jobs/view/100%25-remote-python-django-flask-at-super7ui-2336575354?refId=0cb4cb89-b2db-415f-a88c-2104bdddeafe&trackingId=M6%2BM0yh3sScpcrBBg2q2vA%3D%3D&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,,Software
Python Developer,Onapsis Inc.,Argentina,Hace 3 semanas,Intermedio,Jornada completa,https://ar.linkedin.com/jobs/view/python-developer-at-onapsis-inc-2286316152?refId=0cb4cb89-b2db-415f-a88c-2104bdddeafe&trackingId=c5cgPVcFiDJIm9DJpscnMw%3D%3D&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Seguridad del ordenador y de las redes,Ingeniería
Python Developer,Tiendanube,"Buenos Aires, Provincia de Buenos Aires, Argentina",Hace 2 meses,Sin experiencia,Jornada completa,https://ar.linkedin.com/jobs/view/python-developer-at-tiendanube-2299615827?refId=0cb4cb89-b2db-415f-a88c-2104bdddeafe&trackingId=0ZZJzdFT5rObbxhICN5nLQ%3D%3D&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Marketing y publicidad,Ingeniería
Python Developer,Globant,"Corrientes, Corrientes, Argentina",Hace 2 meses,Sin experiencia,Jornada completa,https://ar.linkedin.com/jobs/view/python-developer-at-globant-2273002574?refId=0cb4cb89-b2db-415f-a88c-2104bdddeafe&trackingId=pwjMANM8oRU77CX%2FyyuL8g%3D%3D&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Servicios y tecnologías de la información ,Ingeniería
Desarrollador Python ,gA,"Zárate, Provincia de Buenos Aires, Argentina",Hace 4 semanas,Algo de responsabilidad,Jornada completa,https://ar.linkedin.com/jobs/view/desarrollador-python-at-ga-2218901444?refId=0cb4cb89-b2db-415f-a88c-2104bdddeafe&trackingId=JWseTsBUQmXlzntL%2FgyP3A%3D%3D&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Consultoría de estrategia y operaciones,Tecnología de la información
Software Engineering - Python Developer,JPMorgan Chase & Co.,"Buenos Aires, Provincia de Buenos Aires, Argentina",Hace 2 días,Sin experiencia,Jornada completa,https://ar.linkedin.com/jobs/view/software-engineering-python-developer-at-jpmorgan-chase-co-2318389286?refId=8bcdc8ba-6d97-46b5-8708-71c6856ce231&trackingId=NiK%2F6lN6Va%2FDbtBs1pvFCQ%3D%3D&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Banca,Tecnología de la información
